State Name,Total Population,White Alone,Black or African American Alone,Hispanic or Latino,Median Household Income,Median Housing Value,Median Gross Rent,Median Age,Median Housing Construction Year,Total Employment,Below Poverty Level,Male Population,Female Population,Housing Units,Vacant Housing Units,Owner-Occupied Housing Units,Renter-Occupied Housing Units,State Code,Year
Alabama,4442558.0,3153627.0,1144330.0,99040.0,36879.0,97500.0,535.0,37.4,1977.0,26262.0,754258.0,2142901.0,2299657.0,2082140.0,293448.0,1261475.0,527217.0,01,2005
Alabama,4599030.0,3237958.0,1209321.0,111432.0,38783.0,107000.0,573.0,37.2,1977.0,27106.0,742064.0,2230594.0,2368436.0,2110139.0,314081.0,1289272.0,506786.0,01,2006
Alabama,4627851.0,3254107.0,1212118.0,119415.0,40554.0,115600.0,601.0,37.3,1978.0,28221.0,759835.0,2238295.0,2389556.0,2137012.0,320699.0,1287825.0,528488.0,01,2007
Alabama,4661900.0,3276551.0,1220643.0,130164.0,42666.0,121500.0,631.0,37.4,1979.0,29558.0,712835.0,2258924.0,2402976.0,2158692.0,342827.0,1289155.0,526710.0,01,2008
Alabama,4708708.0,3295027.0,1229268.0,148279.0,40489.0,119600.0,657.0,37.4,1979.0,28784.0,804683.0,2280784.0,2427924.0,2182358.0,334307.0,1285879.0,562172.0,01,2009
Alabama,4785298.0,3324276.0,1262980.0,182795.0,40474.0,123900.0,667.0,37.8,1981.0,28849.0,888290.0,2322243.0,2463055.0,2174428.0,359276.0,1272846.0,542306.0,01,2010
Alabama,4802740.0,3318110.0,1281095.0,186204.0,41415.0,122700.0,687.0,38.1,1981.0,29900.0,892483.0,2324413.0,2478327.0,2182199.0,337653.0,1289217.0,555329.0,01,2011
Alabama,4822023.0,3333371.0,1276164.0,185441.0,41574.0,123200.0,689.0,38.2,1981.0,30221.0,892564.0,2336291.0,2485732.0,2189567.0,344398.0,1268565.0,576604.0,01,2012
Alabama,4833722.0,3330478.0,1284102.0,189934.0,42849.0,122700.0,694.0,38.3,1982.0,30384.0,883371.0,2341869.0,2491853.0,2190027.0,367588.0,1240017.0,582422.0,01,2013
Alabama,4849377.0,3320273.0,1291826.0,192413.0,42830.0,125600.0,717.0,38.6,1982.0,30388.0,910175.0,2347969.0,2501408.0,2208030.0,366813.0,1246080.0,595137.0,01,2014
Alabama,4858979.0,3329913.0,1303298.0,192870.0,44765.0,134100.0,729.0,38.7,1981.0,31187.0,876016.0,2352810.0,2506169.0,2218391.0,372001.0,1253595.0,592795.0,01,2015
Alabama,4863300.0,3316384.0,1301102.0,199686.0,46257.0,136200.0,743.0,39.0,1983.0,31365.0,810231.0,2356052.0,2507248.0,2230180.0,377662.0,1268138.0,584380.0,01,2016
Alabama,4874747.0,3312718.0,1307467.0,201970.0,48123.0,141300.0,750.0,38.9,1983.0,32267.0,802656.0,2359896.0,2514851.0,2258669.0,417004.0,1253199.0,588466.0,01,2017
Alabama,4887871.0,3306838.0,1307040.0,211485.0,49861.0,147900.0,788.0,39.3,1984.0,33877.0,800422.0,2369271.0,2518600.0,2274711.0,419527.0,1262257.0,592927.0,01,2018
Alabama,4903185.0,3326375.0,1319551.0,219296.0,51734.0,154000.0,807.0,39.4,1984.0,34946.0,739108.0,2369611.0,2533574.0,2284922.0,387346.0,1305223.0,592353.0,01,2019
Alabama,4971531.0,3304128.0,1312328.5,228365.0,52823.5,163400.0,834.0,39.599999999999994,1985.0,35985.0,766717.0,2407753.5,2563777.5,2299269.0,366701.5,1341577.5,590990.0,01,2020
Alabama,5039877.0,3281881.0,1305106.0,237434.0,53913.0,172800.0,861.0,39.8,1986.0,37024.0,794326.0,2445896.0,2593981.0,2313616.0,346057.0,1377932.0,589627.0,01,2021
Alabama,5074296.0,3302528.0,1302035.0,246477.0,59674.0,200900.0,913.0,39.6,1986.0,40316.0,800395.0,2461248.0,2613048.0,2339582.0,323134.0,1416333.0,600115.0,01,2022
