Unit,Adaptive Treatment,Fraction Treated,Treatment Effect Function,Method,NMAE,NMAE Treated Only
CLIENT_ZIP,True,0.05,additive,My Estimator,0.4269855264925517,0.06828609119158019
CLIENT_ZIP,True,0.05,additive,MCNNM,0.0,0.11911410726570619
CLIENT_ZIP,True,0.05,additive,LinearDML,0.10792473219711865,0.06288079788079035
CLIENT_ZIP,True,0.05,additive,DML,0.753846146889209,0.7335005094107706
CLIENT_ZIP,True,0.05,additive,CausalForestDML,382.86599800224303,0.1699077728254616
CLIENT_ZIP,True,0.05,additive,DRLearner,8.347687050023424,61.70400943229628
CLIENT_ZIP,True,0.05,additive,ForestDRLearner,1.1517126207263109,2.3248910706301857
CLIENT_ZIP,True,0.05,additive,XLearner,0.9360315286079014,1.8077845988957895
CLIENT_ZIP,True,0.05,additive,Causal Forest (R),0.45443852913716326,0.07657035548864283
CLIENT_ZIP,True,0.05,additive,My Estimator,0.47746543813562636,0.07577123962038947
CLIENT_ZIP,True,0.05,additive,MCNNM,0.0,0.12812288973832556
CLIENT_ZIP,True,0.05,additive,LinearDML,0.08453935475997633,0.040321081095358875
CLIENT_ZIP,True,0.05,additive,DML,1.0,1.0
CLIENT_ZIP,True,0.05,additive,CausalForestDML,234.59475314930623,0.15996152702449404
CLIENT_ZIP,True,0.05,additive,DRLearner,5.556288297090053,44.632401787113224
CLIENT_ZIP,True,0.05,additive,ForestDRLearner,1.1801568193784617,3.8848888022828287
CLIENT_ZIP,True,0.05,additive,XLearner,1.103454983696067,1.9459643444147101
CLIENT_ZIP,True,0.05,additive,Causal Forest (R),0.4769232510494354,0.0640891880801443
CLIENT_ZIP,True,0.05,additive,My Estimator,0.44028651004052943,0.08264488224532503
CLIENT_ZIP,True,0.05,additive,MCNNM,0.0,0.11670536906345651
CLIENT_ZIP,True,0.05,additive,LinearDML,0.05847884408121195,0.04726500809164787
CLIENT_ZIP,True,0.05,additive,DML,0.5568447366277043,0.5288763397162822
CLIENT_ZIP,True,0.05,additive,CausalForestDML,340.10256429253513,0.1778894554499325
CLIENT_ZIP,True,0.05,additive,DRLearner,9.395455817002514,68.26623649652595
CLIENT_ZIP,True,0.05,additive,ForestDRLearner,1.3619632103603858,9.732812510927785
CLIENT_ZIP,True,0.05,additive,XLearner,0.9649599416932951,1.7539440054866788
